singer,num_song,meanthumb,meansenti
Fool's Garden,1,1704.0,-0.125
关喆,3,3012.0,0.0239121989122
Robot Koch,1,5773.0,0.100877192982
山本景子,1,2825.0,0.5
林海,1,2658.75,0.00776397515525
房东的猫,10,4115.31372549,0.0835714358897
Oh Wonder,6,4471.8,0.117041134289
BOBO,1,4216.5,0.0929121429122
高枫,1,1632.0,-0.666666666667
蒋小涵,1,8915.88888889,0.13371320038
周华健,4,3666.22222222,0.0260883690708
I WiSH,1,3990.0,0.142857142857
John H. Clarke,1,5204.5,-0.0309523809525
赵季平,1,2312.0,-0.05
Bronze Radio Return,1,1812.0,0.125
Greg Laswell,2,7530.33333333,-0.0944953194953
汐音社,3,3197.16666667,0.147371031746
西山居游戏音乐,1,1978.0,0.0
Dmitri Shostakovich,1,3063.0,-0.000356125356117
Kristina Train,1,2323.0,0.0
李志辉,3,1995.0,0.0347222222222
Wolf Colony,2,4696.53846154,-0.0373626373626
Sarah Brightman,3,5488.78571429,0.0446093588951
弗朗茨·李斯特,1,2163.0,0.0
汪昱名,2,2758.5,-0.00611413043478
BEAT WIN,1,1556.0,0.0740740740741
Jim Brickman,1,4840.75,0.05
江生,1,1493.0,0.2
Winky诗,11,3966.34210526,0.0649606575928
常石磊,1,2818.0,0.108333333333
Novo Amor,2,4151.77777778,0.0507733007732
Gryphon,1,2281.33333333,-0.00793650793667
Horsebeach,1,1588.0,-0.166666666667
Thomas Prime,1,5658.14285714,-0.0492123165055
孟可,4,2315.42857143,0.0259920634921
王祖蓝,1,1764.0,-0.1
Alex & Sierra,1,3445.0,0.0324074074073
入江玲於奈,1,1818.0,0.0625
Egil Olsen,3,2630.0,0.0357142857143
Kinnon,1,2227.0,0.0
Matt Hammitt,1,2004.0,-0.04
汪苏泷,16,7121.35714286,0.00709620697455
Mark Petrie,6,16773.09375,0.0218249401677
John Hughes,1,2431.5,0.0709837109837
The Nature Sounds Society Japan,2,2932.75,-0.0416666666666
MANYO,1,2849.0,-0.2
Tincup,1,6738.83333333,0.0666666666667
Vox Angeli,1,10702.8571429,-0.167346938775
Chris Medina,2,5680.85714286,-0.0235431235431
袁咏琳,1,4666.66666667,0.0582112332112
Cosmos & Creature,1,3716.5,0.2
Hallo,1,3985.0,0.0
Roberto Cacciapaglia,5,2527.45454545,-0.0480800824727
Terry Zhong,2,2175.5,0.0
BIGMAMA,1,2515.0,0.25
Activ,2,5011.0,-0.0625387596899
Matthew Lien,1,2427.66666667,0.0429292929293
Hot Chelle Rae,1,2891.0,0.0769230769231
贾鹏新,1,2006.0,-0.210526315789
Brazzaville,2,3338.75,0.0351877289377
Instant Party!,1,2108.0,-0.0625
Angus Stone,1,2272.0,0.0
HIGHLIGHT,2,2064.75,0.0657894736843
Elin Lanto,1,2647.0,-0.333333333333
陈冠希,8,4967.02857143,0.0652343404748
中国BOY,1,2165.75,0.102218944004
そらる,1,4717.09090909,-0.0137278582931
日之内エミ,1,3229.8,0.127037037037
Allan Taylor,1,4478.28571429,0.0360365132334
4MINUTE,5,2411.42857143,0.0447894628346
KDrew,3,3026.36363636,0.106589622499
Emily Grace,1,2650.0,-0.191176470588
LMFAO,2,3920.0,-0.00555555555556
许茹芸,2,5516.14285714,-0.109922756982
Rezonate,1,2414.0,0.0
张宇,11,5139.96551724,0.0443527422516
莫西子诗,1,2457.0,0.283333333334
赵英俊,3,3780.23076923,-0.032763264457
凋叶棕,1,1638.0,0.375
John Stanford,1,7158.25,0.078125
小野道,1,3722.33333333,0.166666666667
Craig David,3,5526.06666667,0.0251517273576
A.N.O.&Shadowx,2,3213.33333333,0.0111111111111
Fether,1,1540.0,0.0909090909091
ELYZA,1,1820.5,0.0
Mamatjan-Abdukadir,1,1529.0,0.0
LANY,1,1541.0,0.0
Michel Teló,1,3675.5,0.0333333333333
大杉久美子,1,6762.0,-0.0008338544924
容祖儿,17,5110.36111111,0.071360756854
Aphrodite's Child,1,2609.0,0.112903225807
JIDA,1,5207.66666667,0.047619047619
柏凝,1,1814.0,-0.0464285714285
Glow Curve,1,1838.66666667,-0.0270707070707
Campsite Dream,3,2286.8,0.0645454545454
Annika Wells,1,2011.0,0.4
B-Complex,1,5179.25,0.0520833333332
Pianoboy高至豪,1,2298.0,-0.2
Re:plus,1,4379.0,0.0607765328353
Echosmith,1,3312.0,0.0476190476192
魏如萱,4,3717.09090909,0.027553408651
翼侯大人,1,1636.0,0.0
Pharrell Williams,1,7497.64285714,0.107015965401
星野源,1,6164.46153846,0.0608242546549
祈Inory,1,3520.0,0.5
